Time (s),Voltage 1 (V),Current 1 (A),Voltage 2 (V),Current 2 (A),Voltage 3 (V),Current 3 (A),Peak (A),Signal Angle (deg),Delta t (s),PMU1 Voltage DFT Real,PMU1 Voltage DFT Imag,PMU1 Voltage Magnitude,PMU1 Voltage Phase,PMU1 Voltage DFT RMS,PMU1 Current DFT Real,PMU1 Current DFT Imag,PMU1 Current Magnitude,PMU1 Current Phase,PMU1 Current DFT RMS,PMU1 Sync Offset,PMU1 Mag Noise,PMU1 Phase Noise,PMU1 Clock Drift,PMU1 Packet Loss,PMU1 Bad Data,PMU2 Voltage DFT Real,PMU2 Voltage DFT Imag,PMU2 Voltage Magnitude,PMU2 Voltage Phase,PMU2 Voltage DFT RMS,PMU2 Current DFT Real,PMU2 Current DFT Imag,PMU2 Current Magnitude,PMU2 Current Phase,PMU2 Current DFT RMS,PMU2 Sync Offset,PMU2 Mag Noise,PMU2 Phase Noise,PMU2 Clock Drift,PMU2 Packet Loss,PMU2 Bad Data,PMU3 Voltage DFT Real,PMU3 Voltage DFT Imag,PMU3 Voltage Magnitude,PMU3 Voltage Phase,PMU3 Voltage DFT RMS,PMU3 Current DFT Real,PMU3 Current DFT Imag,PMU3 Current Magnitude,PMU3 Current Phase,PMU3 Current DFT RMS,PMU3 Sync Offset,PMU3 Mag Noise,PMU3 Phase Noise,PMU3 Clock Drift,PMU3 Packet Loss,PMU3 Bad Data
0.0,0.0,0.0,100.4305231718579,3.090169943749474,229.80970388562793,7.071067811865475,10,0.0,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.001,100.4305231718579,3.090169943749474,191.03020699505376,5.877852522924732,289.34522938219715,8.902930134836835,10,18.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.002,191.03020699505376,5.877852522924732,262.93052317185794,8.090169943749475,320.8377298874233,9.871930150382255,10,36.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.003,262.93052317185794,8.090169943749475,309.0933677959249,9.510565162951535,321.2340331855982,9.884124098018406,10,54.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.004,309.0933677959249,9.510565162951535,325.0,10.0,290.4948100476664,8.938301847620506,10,72.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.005,325.0,10.0,309.0933677959249,9.510565162951535,231.59859479439635,7.126110609058349,10,90.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.006,309.0933677959249,9.510565162951535,262.93052317185794,8.090169943749475,150.2532880003866,4.623178092319587,10,108.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.007,262.93052317185794,8.090169943749475,191.03020699505382,5.877852522924733,54.34307389323871,1.672094581330422,10,126.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.008,191.03020699505382,5.877852522924733,100.43052317185781,3.090169943749471,-46.8356643343694,-1.441097364134443,10,144.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.009000000000000001,100.43052317185781,3.090169943749471,-2.488569654302517e-13,-7.6571373978539e-15,-143.47538772912338,-4.4146273147422574,10,162.00000000000003,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.01,3.980102097228898e-14,1.2246467991473533e-15,-100.43052317185787,-3.0901699437494727,-226.20807392949496,-6.9602484285998445,10,180.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.011,-100.43052317185787,-3.0901699437494727,-191.03020699505385,-5.877852522924734,-287.0133671706567,-8.831180528327899,10,198.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.012,-191.03020699505385,-5.877852522924734,-262.93052317185806,-8.09016994374948,-319.9961648652987,-9.84603584200919,10,216.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.013000000000000001,-262.93052317185806,-8.09016994374948,-309.09336779592496,-9.510565162951538,-321.9582456585919,-9.906407558725906,10,234.00000000000003,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.014,-309.0933677959249,-9.510565162951535,-325.0,-10.0,-292.70850083996,-9.006415410460306,10,252.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
